code,name,city,country
MCP,Macapa International Airport,Macapa,BR
MCQ,Miskolc,Arnot,HU
MCR,Melchor De Menco,Chiquinival,GT
MCS,Monte Caseros,Monte Caseros,AR
MCT,Muscat International Airport,Bawshar,OM
MCU,Gueret (Lepaud),Montlucon,FR
MCV,Mcarthur River Airport,,AU
MCW,Mason City Airport,Clear Lake,US
MCX,Makhachkala Airport,Kaspiysk,RU
MCY,Sunshine Coast Airport,Coolum Beach,AU
MCZ,Maceio-Zumbi dos Palmares International Airport,Satuba,BR
MDA,Martindale Army Heliport,San Antonio,US
MDB,Melinda,Dangriga,BZ
MDC,Sam Ratulangi International Airport,Tatelu,ID
MDD,Airpark,Midland,US
MDE,Jose Maria Cordova International Airport,Rionegro,CO
MDF,Medford,Medford,US
MDG,Mudanjiang Airport,Xinglong,CN
MDH,Southern Illinois,De Soto,US
MDI,Makurdi,Makurdi,NG
MDJ,City-county,Warm Springs,US
MDK,Mbandaka,Mbandaka,CD
MDL,Mandalay International Airport,,MM
MDM,Munduku,,PG
MDN,Jefferson Proving Grd,Madison,US
MDO,Intermediate,,US
MDP,Mindiptana,,ID
MDQ,Mar Del Plata Airport,,AR
MDR,Medfra,,US
MDS,Middle Caicos,,TC
MDT,Harrisburg International Airport,Middletown,US
MDU,Mendi Airport,,PG
MDV,Medouneu,,GA
MDW,Chicago Midway International Airport,Stickney,US
MDX,Mercedes,Mercedes,AR
MDY,Sand Island Field,,UM
MDZ,El Plumerillo International Airport,Las Heras,AR
MEA,Macae,Macae,BR
MEB,Essendon Airport,Niddrie,AU
MEC,Manta Airport,Manta,EC
MED,Prince Mohammad Bin Abdulaziz International Airport,Medina,SA
MEE,Mare Airport,,NC
MEF,Melfi,Melfi,TD
MEG,Malange,Malanje,AO
MEH,Mehamn Airport,Mehamn,NO
MEI,Key Field,Meridian,US
MEJ,Meadville,Meadville,US
MEK,Meknes,Meknes,MA
MEL,Tullamarine Airport,Attwood,AU
MEM,Memphis International Airport,Southaven,US
MEN,Brenoux,Mende,FR
MEO,Dare County Regional,Manteo,US
MEP,Mersing,Mersing,MY
MEQ,Seunagan,Meulaboh,ID
MER,Castle AFB,Merced,US
MES,Polonia,Medan,ID
MET,Moreton,,AU
MEU,Monte Dourado,Almeirim,BR
MEV,Douglas County,Minden,US
MEW,Mweka,Mweka,CD
MEX,Benito Juarez International Airport,Venustiano Carranza,MX
MEY,Meghauli,Bharatpur,NP
MEZ,Messina,,ZA
MFA,Mafia,Kilindoni,TZ
MFB,Monfort,,CO
MFC,Mafeteng,Mafeteng,LS
MFD,Lahm Municipal,Lincoln Heights,US
MFE,McAllen International Airport,McAllen,US
MFF,Moanda,Moanda,GA
MFG,Muzaffarabad,Muzaffarabad,PK
MFH,Mesquite,Mesquite,US
MFI,Municipal,Marshfield,US
MFJ,Moala,,FJ
MFK,Matsu Beigan Airport,Nangan,TW
MFL,Mount Full Stop,,AU
MFM,Macau International Airport,,MO
MFN,Milford Sound,,NZ
MFO,Manguna,,PG
MFP,Manners Creek,,AU
MFQ,Maradi,Maradi,NE
MFR,Rogue Valley International-Medford Airport,Medford,US
MFS,Miraflores,Miraflores,CO
MFT,Machu Picchu,Santa Teresa,PE
MFU,Mfuwe,Chipata,ZM
MFV,Accomack County,Onancock,US
MFW,Magaruque,,MZ
MFX,Meribel,Meribel,FR
MFY,Mayfa'ah,Al Wuday`,YE
MFZ,Mesalia,,PG
MGA,Augusto C Sandino International Airport,Managua,NI
MGB,Mount Gambier Airport,Mount Gambier,AU
MGC,Michigan City Airport,Trail Creek,US
MGD,Magdalena,,BO
MGE,Dobbins AFB,,US
MGF,Regional De Maringa,Maringa,BR
MGG,Margarima,,PG
MGH,Margate Airport,Margate,ZA
MGI,Aransas National Wildlife Refuge,Port O'Connor,US
MGJ,Orange County,Montgomery,US
MGK,Mong Ton,,MM
MGL,Moenchen-gl. - Dus Exp,Krefeld,DE
MGM,Montgomery Regional Airport,,US
MGN,Baracoa,Magangue,CO
MGO,Manega,Fougamou,GA
MGP,Manga,,PG
MGQ,Mogadishu International Airport,Mogadishu,SO
MGR,Moultrie Municipal,,US
MGS,Mangaia Island,,CK
MGT,Milingimbi,,AU
MGU,Manaung,Sittwe,MM
MGV,Margaret River,,AU
MGW,Morgantown Airport,Brookhaven,US
MGX,Moabi,,GA
MGY,Dayton-Wright Brothers Airport,Union,US
MGZ,Myeik Airport,Myeik,MM
MHA,Mahdia,,GY
MHB,Mechanics Bay,,NZ
MHC,Mocopulli Airport,,CL
MHD,Mashhad International Airport,Mashhad,IR
MHE,Municipal,Mitchell,US
MHF,Morichal,,CO
MHG,Mannheim Airport,Mannheim,DE
MHH,Marsh Harbour International Airport,Marsh Harbour,BS
MHI,Musha,Danan,DJ
MHK,Manhattan Municipal Airport,Ogden,US
MHL,Memorial Municipal,Marshall,US
MHM,Intermediate,,US
MHN,Mullen,Mullen,US
MHO,Mount House,,AU
MHP,Minsk International 1,Syenitsa,BY
MHQ,Mariehamn Airport,Mariehamn,AX
MHR,Sacramento Mather Airport,,US
MHS,Rep,Mount Shasta,US
MHT,Manchester Boston Regional Airport,Manchester,US
MHU,Mount Hotham,Mount Beauty,AU
MHV,Kern County,Mojave,US
MHW,Monteagudo,Monteagudo,BO
MHX,Manihiki Island,,CK
MHY,Morehead,,PG
MHZ,Mildenhall Airport,Lakenheath,GB
MIA,Miami International Airport,Virginia Gardens,US
MIB,Minot AFB,,US
MIC,Crystal,Brooklyn Center,US
MID,Manuel Crescencio Rejon International Airport,Itzincab Palomeque,MX
MIE,Delaware County,Muncie,US
MIF,Roy Hurd Memorial,Monahans,US
MIG,Mianyang Nanjiao Airport,Mianyang,CN
MIH,Mitchell Plateau,,AU
MII,Dr Gastao Vidigal Airport,Marilia,BR
MIJ,Mili Island,Mili,MH
MIK,Mikkeli,Mikkeli,FI
MIM,Merimbula Airport,Merimbula,AU
MIN,Minnipa,Streaky Bay,AU
MIO,Miami,Miami,US
MIP,Mitspeh Ramon,Mitzpe Ramon,IL
MIQ,Simón Bolívar International,,US
MIR,Habib Bourguiba International Airport,Sahline,TN
MIS,Misima Island,,PG
MIT,Kern County,Shafter,US
MIU,Maiduguri,Maiduguri,NG
MIV,Millville,Millville,US
MIW,Municipal,Conrad,US
MIX,Miriti,,CO
MIY,Mittiebah,,AU
MIZ,Mainoru,,AU
MJA,Manja,,MG
MJB,Mejit Island,Mejit,MH
MJC,Man,Man,CI
MJD,Mohenjodaro,Dokri,PK
MJE,Majkin,,MH
MJF,Kjaerstad Airport,Mosjoen,NO
MJG,Mayajigua,Venezuela,CU
MJI,Mitiga Tripoli Airport,Tagiura,LY
MJJ,Moki,,PG
MJK,Shark Bay,,AU
MJL,Mouila,Mouila,GA
MJM,Mbuji-Mayi,Mbuji-Mayi,CD
MJN,Amborovy,Mahajanga,MG
MJO,Mount Etjo Lodge,,
MJP,Manjimup,Manjimup,AU
MJQ,Jackson,Jackson,US
MJR,Miramar,Miramar,AR
MJS,Maganja Da Costa,Ressano Garcia,MZ
MJT,Mytilene International Airport,Vareia,GR
MJU,Tampa Padang Airport,Mamuju,ID
MJV,Murcia-San Javier Airport,San Javier,ES
MJW,Mahenye,Chiredzi,ZW
MJX,Robert J. Miller,Toms River,US
MJY,Mangunjaya,Babat,ID
MJZ,Mirnyj Airport,Mirny,RU
MKA,Marianske Lazne,Marianske Lazne,CZ
MKB,Mekambo,,GA
MKC,Charles B. Wheeler Downtown Airport,Kansas City,US
MKE,General Mitchell International Airport,Saint Francis,US
MKG,Muskegon Airport,Norton Shores,US
MKH,Mokhotlong,,LS
MKI,Mboki,Obo,CF
MKJ,Makoua,Makoua,CG
MKK,Molokai Airport,Kualapu'u,US
MKL,Mckellar Airport,Jackson,US
MKM,Mukah Airport,,MY
MKN,Malekolon,,PG
MKO,Davis Field,Muskogee,US
MKP,Makemo,,PF
MKQ,Mopah Airport,,ID
MKR,Meekatharra,,AU
MKS,Mekane Selam,Debre Tabor,ET
MKT,Municipal,Eagle Lake,US
MKU,Makokou,Makokou,GA
MKV,Mt Cavenagh,,AU
MKW,Rendani Airport,Manokwari,ID
MKY,Mackay Airport,Mackay,AU
MKZ,Malacca International Airport,Batu Berendam,MY
MLA,Malta International Airport,Luqa,MT
MLB,Orlando Melbourne International Airport,Melbourne,US
MLC,Mc Alester,McAlester,US
MLD,Malad City,Malad City,US
MLE,Male International Airport,Male,MV
MLF,Milford,Milford,US
MLG,Abdul Rachman Saleh Airport,Singosari,ID
MLH,EuroAirport Basel-Mulhouse-Freiburg,Hesingue,CH
MLI,Quad City International Airport,Coal Valley,US
MLJ,Baldwin County,Milledgeville,US
MLK,Malta,Malta,US
MLL,Marshall Don Hunter Sr. Airport,,US
MLM,Morelia Airport,Alvaro Obregon,MX
MLN,Melilla Airport,Melilla,ES
MLO,Milos Airport,Adamas,GR
MLP,Malabang,Malabang,PH
MLQ,Malalaua,,PG
MLR,Millicent,Millicent,AU
MLS,Municipal,Miles City,US
MLT,Millinocket,Millinocket,US
MLU,Monroe Regional Airport,Lakeshore,US
MLV,Merluna,,AU
MLW,Sprigg Payne,Monrovia,LR
MLX,Malatya Airport,Yesilyurt,TR
MLY,Manley Hot Springs,,US
MLZ,Cerro Largo,Melo,UY
MMA,Malmö Bulltofta Airport,Arloev,DK
MMB,Memanbetsu Airport,Bihoro,JP
MMC,Ciudad Mante,Ciudad Mante,MX
MMD,Maridor,,JP
MME,Durham Tees Valley Airport,Bishopton,GB
MMF,Mamfe,Mamfe,CM
MMG,Mount Magnet,,AU
MMH,Mammoth Lakes Airport,Mammoth Lakes,US
MMI,McMinn County,Decatur,US
MMJ,Matsumoto Airport,Matsumoto,JP
MMK,Murmansk Airport,Murmashi,RU
MML,Municipal-Ryan Field,Marshall,US
MMM,Middlemount,Tieri,AU
MMN,Minute Man Airfield,Stow,US
MMO,Vila Do Maio,Vila do Maio,CV
MMP,Mompos,Mompos,CO
MMQ,Mbala,Mbala,ZM
MMR,Camp Maybry AHP,Austin,US
MMS,Selfs,Marks,US
MMT,Mc Entire ANG Base,Springdale,US
MMU,Morristown Municipal Airport,Florham Park,US
MMV,Mal,Lafayette,PG
MMW,Moma,Antonio Enes,MZ
MMX,Malmo Airport,Genarp,SE
MMY,Miyako Airport,,JP
MMZ,Maimana,Maymana,AF
MNA,Melangguane,Lirung,ID
MNB,Moanda,,CD
MNC,Nacala,Nacala,MZ
MND,Medina,Medina,CO
MNE,Mungeranie,,AU
MNF,Mana Island Airstrip,,FJ
MNG,Maningrida Airport,,AU
MNH,Minneriya,Kalmunai,LK
MNI,Bramble Airport,Saint Peters,MS
MNJ,Mananjary,Mananjary,MG
MNK,Maiana,Tarawa,KI
MNL,Ninoy Aquino International Airport,Makati City,PH
MNM,Menominee,Marinette,US
MNN,Municipal,Marion,US
MNO,Manono,Kabalo,CD
MNP,Maron,,PG
MNQ,Monto,,AU
MNR,Mongu,Mongu,ZM
MNS,Mansa,Mansa,ZM
MNT,Minto,,US
MNU,Maulmyine,Mawlamyine,MM
MNV,Mountain Valley,,AU
MNW,Macdonald Downs,,AU
MNX,Manicore,Manicore,BR
MNY,Mono,,SB
MNZ,Manassas Regional Airport/Harry P. Davis Field,Manassas,US
MOA,Orestes Acosta,Moa,CU
MOB,Mobile Regional Airport,Tillmans Corner,US
MOC,Montes Claros Airport,Montes Claros,BR
MOD,Modesto Municipal Airport,Bystrom,US
MOE,Momeik,Mogok,MM
MOF,Wai Oti Airport,Waioti,ID
MOG,Mong Hsat,Mae Ai,MM
MOH,Maleo Airport,Malili,ID
MOI,Mitiaro Island,,CK
MOJ,Moengo,Moengo,SR
MOK,Muynak Airport,Muynak,UZ
MOL,Molde Airport Aro,Molde,NO
MOM,Moudjeria,Barkewol,MR
MON,Mount Cook Airport,,NZ
MOO,Moomba,,AU
MOP,Municipal,Mount Pleasant,US
MOQ,Morondava Airport,Morondava,MG
MOR,Moore-Murrell,Morristown,US
MOS,Intermediate,,US
MOT,Minot International Airport,Minot,US
MOU,Mountain Village Airport,,US
MOV,Moranbah Airport,Moranbah,AU
MOX,Municipal,Morris,US
MOY,Monterrey,Monterrey,CO
MOZ,Temae Airport,Teavaro,PF
MPA,Mpacha,,
MPB,Miami Sea Plane Base,,US
MPC,Muko-Muko,Sungai Penuh,ID
MPD,Mirpur Khas,Mirpur Khas,PK
MPE,Griswold,Madison,US
MPF,Mapoda,,PG
MPG,Makini,,PG
MPH,Boracay Airport,Caticlan,PH
MPI,Mamitupo,Maria Chiquita,PA
MPJ,Petit Jean Park,Morrilton,US
MPK,Mokpo,Moppo,KR
MPL,Montpellier Mediterranee Airport,Perols,FR
MPM,Maputo International Airport,,MZ
MPN,Mount Pleasant,,FK
MPO,Mt Pocono,Mount Pocono,US
MPP,Mulatupo,,PA
MPQ,Maan,Ma'an,JO
MPR,Mcpherson,McPherson,US
MPS,Mount Pleasant,Mount Pleasant,US
MPT,Maliana,Akubala,TL
MPU,Mapua,,PG
MPV,Edward F Knapp State,Montpelier,US
MPW,Mariupol,Mariupol,UA
MPX,Miyanmin,,PG
MPY,Maripasoula,,GF
MPZ,Municipal,Mount Pleasant,US
MQA,Mandora,Broome,AU
MQB,Municipal,Macomb,US
MQC,Miquelon Airport,Miquelon,PM
MQD,Maquinchao,Maquinchao,AR
MQE,Marqua,,AU
MQF,Magnitogorsk Airport,Magnitogorsk,RU
MQG,Midgard,Okahandja,
MQH,Municipal,Cavalcante,BR
MQI,Quincy,Quincy,US
MQJ,Moma,,RU
MQK,San Matias,San Matias,BO
MQL,Mildura Airport,Mildura,AU
MQM,Mardin Airport,Kiziltepe,TR
MQN,Mo i Rana Airport,Mo i Rana,NO
MQO,Malam,,PG
MQP,Kruger Mpumalanga International Airport,White River,ZA
MQQ,Moundou,Moundou,TD
MQR,Mosquera,Mosquera,CO
MQS,Mustique,Port Elizabeth,VC
MQT,Sawyer International Airport,K. I. Sawyer Air Force Base,US
MQU,Mariquita,Mariquita,CO
MQV,Mostaganem,Mostaganem,DZ
MQW,Telfair-Wheeler,Helena,US
MQX,Makale Airport,Mekele,ET
MQY,Smyrna,Smyrna,US
MQZ,Margaret River,Margaret River,AU
MRA,Misurata Airport,Misratah,LY
MRB,Eastern Wv Regional Airport/Shepherd Field,Martinsburg,US
MRC,Maury County,Columbia,US
MRD,A Carnevalli,Merida,VE
MRE,Mara Lodges Airport,,KE
MRF,Municipal,Marfa,US
MRG,Mareeba,,AU
MRH,May River,,PG
MRI,Merrill Field,Anchorage,US
MRJ,Marcala,Marcala,HN
MRK,Marco Island,Marco,US
MRL,Miners Lake,Charters Towers,AU
MRM,Manare,,PG
MRN,Lenoir,Morganton,US
MRO,Masterton/Hood Aerodrome,Masterton,NZ
MRP,Marla,,AU
MRQ,Marinduque,Masiga,PH
MRR,Macara,Macara,EC
MRS,Marseille Provence Airport,Saint-Victoret,FR
MRT,Moroak,,AU
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,MU
MRV,Mineralnye Vody Airport,Andzhiyevskiy,RU
MRW,Maribo,Holeby,DK
MRX,Mahshahr Airport,Bandar-e Mahshahr,IR
MRY,Monterey Regional Airport,Del Rey Oaks,US
MRZ,Moree Airport,Moree,AU
MSA,Muskrat Dam,,CA
MSB,Marigot SPB,,MF
MSC,Falcon Field,Mesa,US
MSD,Mt Pleasant,Mount Pleasant,US
MSE,Kent International,Westgate on Sea,GB
MSF,Mount Swan,,AU
MSG,Matsaile,,LS
MSH,Masirah,Badiyah,OM
MSI,Masalembo,Perreng,ID
MSJ,Misawa,Misawa,JP
MSK,Mastic Point,,BS
MSL,Northwest Alabama Regional Airport,Muscle Shoals,US
MSM,Masi Manimba,Bulungu,CD
MSN,Dane County Regional Airport,Maple Bluff,US
MSO,Missoula International Airport,Orchard Homes,US
MSP,Minneapolis-St. Paul International Airport,Richfield,US
MSQ,Minsk National Airport,Smilavichy,BY
MSR,Mus Airport,Haskoy,TR
MSS,Richards Field,Massena,US
MST,Maastricht Aachen Airport,Elsloo,NL
MSU,Moshoeshoe International Airport,Maseru,LS
MSV,Sullivan County International,Liberty,US
MSW,Massawa International,Massawa,ER
MSX,Mossendjo,Mossendjo,CG
MSY,Louis Armstrong New Orleans International Airport,Kenner,US
MSZ,Yuri Gagarin Airport,Namibe,AO
MTA,Matamata,Matamata,NZ
MTB,Monte Libano,Montelibano,CO
MTC,Selfridge ANGB,Mount Clemens,US
MTD,Mt Sandford,,AU
MTE,Monte Alegre,Monte Alegre,BR
MTF,Mizan Teferi,,ET
MTG,Mato Grosso,Diamantino,BR
MTH,Florida Keys Marathon Airport,Marathon,US
MTI,Mosteiros,Porto dos Mosteiros,CV
MTJ,Montrose Regional Airport,Montrose,US
MTK,Makin Island,Makin Village,KI
MTL,Maitland,Maitland,AU
MTM,SPB,,US
MTN,Glenn L Martin,Bowleys Quarters,US
MTO,Coles County Memorial,Mattoon,US
MTP,Montauk Airport,Montauk,US
MTQ,Mitchell,,AU
MTR,Los Garzones Airport,Cerete,CO
MTS,Matsapha International,Kwaluseni,SZ
MTT,Minatitlan Airport,Minatitlan,MX
MTU,Montepuez,Montepuez,MZ
MTV,Mota Lava,,VU
MTW,Municipal,Manitowoc,US
MTX,Metro Field,College,US
MTY,Gen Mariano Escobedo Airport,Ladrillera (Entronque Pesqueria),MX
MTZ,Masada,Mas`adah,IL
MUA,Munda Airport,,SB
MUB,Maun Airport,,BW
MUC,Franz Josef Strauss Airport,Hallbergmoos,DE
MUD,Mueda,Newala Kisimani,MZ
MUE,Kamuela,Waimea,US
MUF,Muting,,ID
MUG,Mulege,,MX
MUH,Mersa Matruh,Mersa Matruh,EG
MUI,Muir AAF,Jonestown,US
MUJ,Mui,Mizan Teferi,ET
MUK,Mauke Island,,CK
MUL,Spence,Moultrie,US
MUN,Jose Tadeo Monagas International Airport,Maturin,VE
MUO,Mountain Home AFB,Mountain Home,US
MUP,Mulga Park,,AU
MUQ,Muccan,,AU
MUR,Marudi Airport,,MY
MUS,Marcus Island,,JP
MUT,Muscatine,Muscatine,US
MUU,Mount Union,Mount Union,US
MUW,Mascara-Ghriss,Mascara,DZ
MUX,Multan Airport,Multan,PK
MUY,Mouyondzi,Madingou,CG
MUZ,Musoma Airport,Musoma,TZ
MVA,Reykiahlid,Laugar,IS
MVB,Franceville/Mvengue,Franceville,GA
MVC,Monroe - Walton County,Monroeville,US
MVD,Carrasco International Airport,Paso de Carrasco,UY
MVE,Montevideo-Chippewa,Montevideo,US
MVF,Dixsept Rosado,Mossoro,BR
MVG,Mevang,Ndjole,GA
MVH,Macksville,Macksville,AU
MVI,Manetai,,PG
MVJ,Marlboro,Mandeville,JM
MVK,Mulka,,AU
MVL,Morrisville-Stowe,Morrisville,US
MVM,Monument Valley,Kayenta,US
MVN,Mt Vernon-Outland,Mount Vernon,US
MVO,Mongo,Mongo,TD
MVP,Mitu,,CO
MVQ,Mogilev,Vishow,BY
MVR,Salam,Maroua,CM
MVS,Aeroporto Max Feffer,Mucuri,BR
MVT,Mataiva,,PF
MVU,Musgrave,Cooktown,AU
MVV,Megeve,Megeve,FR
MVW,Skagit Regional,Mount Vernon,US
MVX,Minvoul,Bitam,GA
MVY,Martha's Vineyard Airport,,US
MVZ,Masvingo,Masvingo,ZW
MWA,Williamson County Airport,Energy,US
MWB,Morawa,Dongara,AU
MWC,Lawrence J Timmerman,,US
MWD,Mianwali,Mianwali,PK
MWE,Merowe,Marawi,SD
MWF,Maewo,,VU
MWG,Marawaka,,PG
MWH,Grant County,Moses Lake North,US
MWI,Maramuni,,PG
MWJ,Matthews Ridge,Bartica,GY
MWK,Matak,,ID
MWL,Mineral Wells Airport,Mineral Wells,US
MWM,Windom Municipal,Windom,US
MWN,Mwadui,Mwadui,TZ
MWO,Hook Field,Middletown,US
MWP,Mountain,,NP
MWQ,Magwe,Magway,MM
MWR,Motswari Airfield,,ZA
MWS,Mount Wilson,Sierra Madre,US
MWT,Moolawatana,,AU
MWU,Mussau,,PG
MWV,Mundulkiri,Senmonourom,KH
MWX,Muan International Airport,Muan,KR
MWY,Miranda Downs,,AU
MWZ,Mwanza Airport,Mwanza,TZ
MXA,Municipal,Manila,US
MXB,Masamba,Masamba,ID
MXC,San Juan County,Monticello,US
MXD,Marion Downs,,AU
MXE,Maxton,Maxton,US
MXF,Maxwell AFB,Montgomery,US
MXG,Marlborough,Marlborough,US
MXH,Moro Airport,,PG
MXI,Imelda Romualdez Marcos,Mati,PH
MXJ,Minna,Minna,NG
MXK,Mindik,,PG
MXL,Mexicali Airport,Islas Agrarias Grupo A,MX
MXM,Morombe,,MG
MXN,Morlaix,Saint-Martin-des-Champs,FR
MXO,Municipal,Monticello,US
MXP,Milano Malpensa Airport,Vizzola Ticino,IT
MXQ,Lorenzo Airport,Cairu,BR
MXR,Mirgorod,Myrhorod,UA
MXS,Maota Savaii Island,Safotulafai,WS
MXT,Maintirano,,MG
MXU,Mullewa,Waggrakine,AU
MXV,Moron,Murun-kuren,MN
MXW,Mandalgobi,Mandalgovi,MN
MXX,Mora Airport,Mora,SE
MXY,Mccarthy,,US
MXZ,Mei Xian Airport,Sanjiao,CN
MYA,Moruya Airport,Broulee,AU
MYB,Mayoumba,Mayumba,GA
MYC,Maracay,Moron,VE
MYD,Malindi Airport,Malindi,KE
MYE,Miyake Jima,Shimoda,JP
MYF,Montgomery Field,,US
MYG,Mayaguana Airport,,BS
MYH,Marble Canyon,,US
MYI,Murray Island,,AU
MYJ,Matsuyama Airport,Masaki-cho,JP
MYK,May Creek,,US
MYL,Mccall,McCall,US
MYM,Monkey Mountain,,GY
MYN,Mareb,Ma'rib,YE
MYO,Myroodah,,AU
MYP,Mary Airport,Mary,TM
MYQ,Mysore,Mysore,IN
MYR,Myrtle Beach International Airport,Myrtle Beach,US
MYT,Myitkyina Airport,Myitkyina,MM
MYU,Ellis Field,,US
MYV,Yuba County,Olivehurst,US
MYW,Mtwara Airport,Mtwara,TZ
MYX,Menyamya,,PG
MYY,Miri Airport,Miri,MY
MYZ,Monkey Bay,Chipoka,MW
MZA,Mayor Pnp Nancy Flore Airport,Mazamari,PE
MZB,Mocimboa Praia,Mocimboa,MZ
MZC,Mitzic,Mitzic,GA
MZD,Mendez,,EC
MZE,Manatee,,BZ
MZF,Mzamba(Wild Coast Sun),Butterworth,ZA
MZG,Magong Airport,,TW
MZH,Merzifon Airport,Merzifon,TR
MZI,Mopti,Mopti,ML
MZJ,Marana,Avra Valley,US
MZK,Marakei,Rawannawi Village,KI
MZL,La Nubia Airport,Villamaria,CO
MZM,Frescaty,Marly,FR
MZN,Minj,,PG
MZO,Sierra Maestra Airport,Manzanillo,CU
MZP,Motueka,Motueka,NZ
MZQ,Mkuze,Mkuze,ZA
MZR,Mazar-I-Sharif Airport,Mazar-e Sharif,AF
MZS,Mostyn,,MY
MZT,Mazatlan International Airport,Villa Union,MX
MZU,Muzaffarpur,Muzaffarpur,IN
MZV,Mulu Airport,,MY
MZW,Mechria,Naama,DZ
MZX,Mena,Goba,ET
MZY,Mossel Bay,Mossel Bay,ZA
MZZ,Marion,Jonesboro,US
NAA,Narrabri,,AU
NAB,Albany NAS,Albany,US
NAC,Naracoorte,Naracoorte,AU
NAD,Macanal,Maroa,CO
NAE,Natitingou,Natitingou,BJ
NAF,Banaina,Long Beluah,ID
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN
NAH,Naha,Enemawira,ID
NAI,Annai,,GY
NAJ,Nakhichevan Airport,Tazakend,AZ
NAK,Nakhon Ratchasima,Nakhon Ratchasima,TH
NAL,Nalchik Airport,Nartan,RU
NAM,Namlea,Namlea,ID
NAN,Nadi International Airport,,FJ
NAO,Nanchong Airport,Nanchong,CN
NAP,Naples International Airport,Casavatore,IT
NAQ,Qaanaaq Airport,,GL
NAR,Nare,,CO
NAS,Lynden Pindling International Airport,,BS
NAT,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport,Parnamirim,BR
NAU,Napuka Island,,PF
NAV,Nevsehir,Nevsehir,TR
NAW,Narathiwat Airport,Bacho,TH
NAY,Beijing Nanyuan Airport,Nanyuan,CN
NAZ,Nana,,SB
NBA,Nambaiyufa,Goroka,PG
NBB,Barrancominas,,CO
NBC,Begishevo Airport,Yelabuga,RU
NBE,Enfidha - Hammamet International Airport,Harqalah,TN
NBG,NAS/Alvin Callendar,Timberlane,US
NBH,Nambucca Heads,Nambucca,AU
NBJ,Dr. Antonio Agostinho Neto International Airport,,AO
NBL,San Blas,El Progreso,PA
NBN,Annobón,Pale,GQ
NBO,Jomo Kenyatta International Airport,Pumwani,KE
NBS,Changbaishan Airport,Manjiang,CN
NBU,NAS,Glenwood Springs,US
NBV,Cana Brava,Joao Pinheiro,BR
NBW,Guantanamo NAS,Guantanamo,CU
NBX,Nabire,,ID
NCA,North Caicos,,TC
NCE,Cote D'Azur Airport,Saint-Laurent-du-Var,FR
NCG,Nueva Casas Grandes,Nuevo Casas Grandes,MX
NCH,Nachingwea,Nachingwea,TZ
NCI,Necocli,,CO
NCJ,Sunchales,Sunchales,AR
NCL,Newcastle International Airport,Ponteland,GB
NCN,New Chenega,,US
NCO,NAS,West Tisbury,US
NCR,San Carlos,San Carlos,NI
NCS,Newcastle,Newcastle,ZA
NCT,Guanacaste,,CR
NCU,Nukus Airport,Nukus,UZ
NCY,Annecy-Meythe,Metz-Tessy,FR
NDA,Bandanaira,Werinama,ID
NDB,Nouadhibou Airport,,MR
NDC,Nanded,Nanded,IN
NDD,Sumbe,,AO
NDE,Mandera,Mandera,KE
NDF,Ndalatandos,N'dalatando,AO
NDG,Qiqihar Airport,Nanhang,CN
NDI,Namudi,,PG
NDJ,Ndjamena Airport,N'Djamena,TD
NDK,Namdrik Island,Namdrik,MH
NDL,Ndele,Ndele,CF
NDM,Mendi,Mendi,ET
NDN,Nadunumu,,PG
NDO,La Palma Del Condado,Villarrasa,ES
NDR,Nador International Airport,Selouane,MA
NDS,Sandstone,,AU
NDU,Rundu,Rundu,
NDV,USN Heliport,,US
NDY,Sanday,,GB
NEA,Brunswick Golden Isles,Country Club Estates,US
NEC,Necochea,Necochea,AR
NEF,Neftekamsk,Neftekamsk,RU
NEG,Negril,Negril,JM
NEI,Terney Airport,Terney,RU
NEJ,Nejjo,Nejo,ET
NEK,Nekemt,,ET
NEL,Naec,Lakehurst,US
NEN,Olf Usn,Baldwin,US
NER,Neryungri Airport,Neryungri,RU
NES,East 34th St Landing,,US
NET,New Bight,,BS
NEU,Sam Neua,Xam Nua,LA
NEV,Newcastle Airport,Newcastle,KN
NEW,Lakefront Airport,Arabi,US
NFB,Detroit NAF,Capac,US
NFG,Nefteyugansk,Barsovo,RU
NFL,Fallon Naval Air Station (Van Voorhis Field),Fallon,US
NFO,Mata'aho,,TO
NFR,Nafoora,Gialo,LY
NGA,Young,Young,AU
NGB,Ningbo Airport,Gulin,CN
NGC,North Rim,Grand Canyon,US
NGD,Captain Auguste George,,VG
NGE,Ngaoundéré,Ngaoundere,CM
NGF,Marine Corps Air Station Kaneohe Bay,Marine Corps Base Hawaii - MCBH,US
NGI,Ngau Island,Levuka,FJ
NGK,Nogliki Airport,Nogliki,RU
NGL,Ngala Airfield,Lisala,ZA
NGN,Nargana,Palmira,PA
NGO,Chubu Centrair International Airport,Tokoname,JP
NGP,NAS,,US
NGQ,Ngari Gunsa/Ali Kunsha,,CN
NGR,Ningerum,,PG
NGS,Nagasaki Airport,,JP
NGU,NAS Chambers,Columbia,US
NGW,Cabaniss Field,Corpus Christi,US
NGX,Manang,Kathmandu,NP
NGZ,NAS,Alameda,US
NHA,Nha Trang,Nha Trang,VN
NHD,Minhad AB,Dubai,AE
NHF,New Halfa,Aroma,SD
NHK,Patuxent River NAS,Drum Point,US
